Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
CDW,"CDW Corp",110.08,-0.47,-0.43%,111,112.05,109.36,1083302,09/10/20
CDXC,"Chromadex Corp CS",4.45,-0.04,-0.89%,4.49,4.54,4.42,170867,09/10/20
CDXS,"Codexis Inc",11.67,-0.15,-1.27%,11.83,12.14,11.65,155015,09/10/20
CDZI,"Cadiz Inc",10.01,-0.18,-1.72%,10.15,10.18,9.99,126559,09/10/20
CE,"Celanese Corp",105.1,-1.34,-1.26%,106.58,107.13,105.05,611387,09/10/20
CECE,"C E C O Envir",7.98,-0.12,-1.48%,8.16,8.28,7.93,72305,09/10/20
CEIX,"Consol Energy Inc",4.68,0.18,+4.00%,4.52,4.91,4.4,718356,09/10/20
CELH,"Celsius Holdings Inc",20.79,0.43,+2.11%,20.49,21.6,20.43,663512,09/10/20
CENT,"Central Garden",40.57,0.35,+0.87%,40.42,41.02,40.36,90840,09/10/20
CENTA,"Central Garden & Pet",36.84,0.03,+0.08%,37.02,37.34,36.73,172466,09/10/20
CENX,"Century Aluminum C",9.58,0.14,+1.48%,9.41,9.75,9.41,996207,09/10/20
CERN,"Cerner Corp",70.38,-1.19,-1.66%,71.37,72.09,70.28,1545738,09/10/20
CERS,"Cerus Corp",6.05,-0.03,-0.49%,6.09,6.28,6.03,1190147,09/10/20
CETV,"Central EUR Med A",4.32,-0.02,-0.46%,4.34,4.34,4.28,189183,09/10/20
CEVA,"Ceva Inc",37.52,-0.62,-1.63%,38.63,38.63,37.43,84245,09/10/20
CF,"Cf Industries Holdings",32.25,-0.08,-0.25%,32.52,32.74,32.12,1789495,09/10/20
CFB,"Crossfirst Bankshares Inc",9.46,-0.03,-0.32%,9.51,9.67,9.3,183651,09/10/20
CFFI,"C&F Financial Corp",30.73,0.09,+0.29%,30.47,31.22,30.47,4007,"16:01 ET"
CFFN,"Capitol Fed Finl Inc",9.3,-0.11,-1.17%,9.45,9.57,9.3,592696,09/10/20
CFG,"Citizens Financial Group Inc/Ri",26.72,-0.41,-1.51%,27.42,28.07,26.52,15211746,09/10/20
CFR,"Cullen/Frost Bankers",67.74,-0.63,-0.92%,68.78,69.02,67.48,351923,09/10/20
CFX,"Colfax Corp",32.86,-0.72,-2.14%,33.69,33.88,32.81,561618,09/10/20
CG,"The Carlyle Group",25.28,-0.33,-1.29%,25.8,26.26,25.24,1068784,09/10/20
CGNX,"Cognex Cp",62.56,-0.34,-0.54%,63.3,63.99,62.19,561793,09/10/20
CHCO,"City Holding Company",60.68,-1.18,-1.91%,62.32,62.32,60.66,43956,09/10/20
CHCT,"Community Healthcare Trust Inc",48.15,-0.96,-1.95%,49.08,49.8,47.78,124955,09/10/20
CHD,"Church & Dwight Company",92.89,-1.15,-1.22%,93.96,94.72,92.72,873463,09/10/20
CHDN,"Churchill Downs IN",169.96,-6.47,-3.67%,167.08,182.05,167.08,349117,09/10/20
CHE,"Chemed Inc",491.7,-4.52,-0.91%,499.17,499.17,488.61,54287,09/10/20
CHEF,"The Chefs Warehouse",17.38,0.51,+3.02%,17.13,17.96,17,1248435,09/10/20
CHGG,"Chegg Inc",65.53,-2.49,-3.66%,68.27,69.15,64.91,2035600,09/10/20
CHH,"Choice Hotels International",96.48,-0.51,-0.53%,97.69,99.18,96.07,235554,09/10/20
CHMA,"Chiasma Inc",5.35,-0.13,-2.37%,5.47,5.6,5.31,373577,09/10/20
CHMG,"Chemung Financial Cp",30.35,-0.35,-1.14%,29.67,31.09,29.62,5298,09/10/20
CHMI,"Cherry Hill Mortgage Investmen",9.37,-0.1,-1.06%,9.46,9.51,9.36,92788,09/10/20
CHNG,"Change Healthcare Inc",14.36,-0.26,-1.78%,14.73,14.86,14.33,2352140,09/10/20
CHRS,"Coherus Bio",18.29,-0.52,-2.76%,18.93,19.65,18.28,1006711,09/10/20
CHRW,"C.H. Robinson Ww",98.55,-0.46,-0.46%,99.48,101.07,98.39,1615041,09/10/20
CHS,"Chico's Fas",1.15,0.03,+2.68%,1.14,1.27,1.13,1504081,09/10/20
CHTR,"Charter Communicatio",604.06,-9.22,-1.50%,611.38,622.23,603.31,1058724,09/10/20
CHUY,"Chuy's Holdings Inc",23.86,0.7,+3.02%,23.37,24.15,23.1,316332,09/10/20
CHX,"Championx Corp.",8.84,-0.72,-7.53%,9.55,9.63,8.8,2487699,09/10/20
CI,"Cigna Corp",169.74,-4.29,-2.47%,174.42,175.8,169.69,1333208,09/10/20
CIA,"Citizens Inc",5.8,-0.2,-3.33%,5.98,6.07,5.8,65651,09/10/20
CIEN,"Ciena Corp",40.58,-1.39,-3.31%,42.05,43.25,40.55,5175957,09/10/20
CIM,"Chimera Investment Corp",8.67,-0.09,-1.03%,8.76,8.82,8.65,1869849,09/10/20
CINF,"Cincinnati Financial",77.23,-1.61,-2.04%,79.2,79.25,76.75,847907,09/10/20
CIO,"City Office REIT Inc",7.77,-0.1,-1.27%,7.81,7.91,7.65,429081,09/10/20
CIR,"Circor International",27.39,-0.27,-0.98%,27.94,28.13,27.29,127600,09/10/20
CIT,"Cit Group Inc",18.02,-0.55,-2.96%,18.66,19.15,18.01,1375352,09/10/20
CIVB,"Civista Bncshrs",13.28,0.18,+1.37%,13.15,13.34,12.91,34166,09/10/20
CIX,"Compx International Inc",13.05,-0.1,-0.76%,12.51,13.25,12.51,5889,09/10/20
CKH,"Seacor Smit Inc",30.24,-0.36,-1.18%,30.66,30.66,30.01,52182,09/10/20
CL,"Colgate-Palmolive Company",76.41,-1.16,-1.50%,77.11,77.78,76.26,4121791,09/10/20
CLAR,"Clarus Corp",13.44,0.25,+1.90%,13.18,13.66,13.16,210881,09/10/20
CLBK,"Columbia Financial Inc",10.68,-0.14,-1.29%,10.85,10.89,10.65,209933,09/10/20
CLCT,"Collectors Universe",46.16,1.28,+2.85%,45,46.97,44.99,94102,09/10/20
CLDR,"Cloudera Inc",11.16,-0.38,-3.29%,11.59,11.86,11.14,4955347,09/10/20
CLDT,"Chatham Lodging Trust [Reit]",7.45,0,0.00%,7.57,7.8,7.45,702548,09/10/20
CLF,"Cleveland-Cliffs Inc",6.11,-0.13,-2.08%,6.29,6.32,6.1,5067584,09/10/20
CLFD,"Clearfield Inc",21.34,-0.59,-2.69%,21.9,22.09,21.25,144692,09/10/20
CLGX,Corelogic,66.04,-0.3,-0.45%,66.66,67.45,65.48,1084106,09/10/20
CLH,"Clean Harbors",56,-0.86,-1.51%,57.13,58.16,55.93,286328,09/10/20
CLI,"Mack-Cali Realty Corp",13.53,-0.03,-0.22%,13.59,13.74,13.44,1346278,09/10/20
CLNC,"Colony Northstar Credit Real Estate Inc Class",5.05,-0.35,-6.48%,5.41,5.5,5.05,557522,09/10/20
CLNE,"Clean Energy Fuels",2.51,-0.07,-2.71%,2.65,2.65,2.51,1612531,09/10/20
CLNY,"Colony Capital Inc",2.54,-0.14,-5.22%,2.68,2.71,2.53,3397337,09/10/20
CLPR,"Clipper Realty Inc",6.15,-0.23,-3.61%,6.38,6.39,6.14,50501,09/10/20
CLR,"Continental Resources",13.28,-1.08,-7.52%,14.41,14.41,13.26,3325157,09/10/20
CLVS,"Clovis Oncology Inc",5.72,0.3,+5.63%,5.42,5.95,5.42,6332521,09/10/20
CLW,"Clearwater Paper Corp",30.84,-0.74,-2.34%,31.59,31.83,30.53,142652,09/10/20
CLX,"Clorox Company",214.97,-5.03,-2.29%,219.26,221.59,214.92,2546902,09/10/20
CLXT,"Calyxt Inc",5.67,0.24,+4.42%,5.52,5.96,5.52,90760,09/10/20
CMA,"Comerica Inc",39.2,-0.5,-1.26%,39.96,40.89,39.08,1755975,09/10/20
CMC,"Commercial Metals Company",19.72,-0.48,-2.38%,20.27,20.32,19.71,1032917,09/10/20
CMCO,"Columbus Mckinnon",34.52,-0.89,-2.51%,35.41,35.98,34.19,127282,09/10/20
CMCSA,"Comcast Corp A",44.02,-0.58,-1.30%,44.65,45.01,43.86,16004009,09/10/20
CMCT,"Cim Commercial TR Cp",10.33,0.04,+0.39%,10.5,10.5,10.33,30239,09/10/20
CMD,"Cantel Medical",51.37,-0.35,-0.68%,51.87,53.21,51.33,196765,09/10/20
CME,"CME Group Inc",163.94,-4.07,-2.42%,166.58,168.52,163.68,2036053,09/10/20
CMG,"Chipotle Mexican Grill",1308.49,-12.54,-0.95%,1327.39,1359.72,1305,329425,09/10/20
CMI,"Cummins Inc",207.16,-4.91,-2.32%,211.46,211.46,204.85,1126400,09/10/20
CMO,"Capstead Mortgage Corp",5.99,-0.08,-1.32%,6.1,6.14,5.98,500251,09/10/20
CMP,"Compass Minerals Intl Inc",55.11,-1.23,-2.18%,56.47,56.61,55.09,156973,09/10/20
CMPR,"Cimpress N.V. Ord",81.88,-0.28,-0.34%,82.78,85.54,81.81,185608,09/10/20
CMRE,"Costamare Inc",5.24,0.23,+4.59%,5.01,5.39,4.99,1001535,09/10/20
CMRX,"Chimerix Inc",2.47,0.04,+1.65%,2.45,2.57,2.41,436779,09/10/20
CMS,"Cms Energy Corp",60.8,-0.89,-1.44%,61.54,61.86,60.74,1867061,09/10/20
CMTL,"Comtech Telecom Company",14.39,-0.51,-3.42%,14.95,15.07,14.38,208111,09/10/20
CNA,"Cna Financial Corp",30.98,-0.66,-2.09%,31.69,31.92,30.98,278197,09/10/20
CNBKA,"Century Bancorp Inc",67.69,0.39,+0.58%,67.4,67.87,67.03,5454,09/10/20
CNC,"Centene Corp",57.1,-0.25,-0.44%,57.43,57.84,56.72,3508713,09/10/20
CNCE,"Concert Pharmaceutic",10.11,0.23,+2.33%,9.9,10.28,9.9,56484,09/10/20
CNDT,"Conduent Inc",3.27,0.07,+2.19%,3.2,3.38,3.18,2203908,09/10/20
